participants,condition,microstate,order,coverage
KORU001,med,A,0,15.729142
KORU003,med,A,0,18.168466
KORU006,med,A,0,17.566279
KORU007,med,A,1,11.693151
KORU009,med,A,1,10.526777
KORU012,med,A,0,19.828938
KORU014,med,A,0,15.021756
KORU016,med,A,0,23.425242
KORU032,med,A,0,19.621669
KORU038,med,A,1,25.179793
KORU043,med,A,0,15.595153
KORU044,med,A,1,11.238122
KORU048,med,A,0,9.078953
KORU050,med,A,1,18.341703
KORU001,med,B,0,12.119085
KORU003,med,B,0,13.156135
KORU006,med,B,0,11.066054
KORU007,med,B,1,23.183562
KORU009,med,B,1,7.886311
KORU012,med,B,0,18.174242
KORU014,med,B,0,19.487949
KORU016,med,B,0,18.065415
KORU032,med,B,0,20.077859
KORU038,med,B,1,17.822531
KORU043,med,B,0,16.927463
KORU044,med,B,1,11.742271
KORU048,med,B,0,25.755118
KORU050,med,B,1,12.570996
KORU001,med,C,0,32.683574
KORU003,med,C,0,29.490875
KORU006,med,C,0,42.745197
KORU007,med,C,1,42.611507
KORU009,med,C,1,55.48489
KORU012,med,C,0,18.403421
KORU014,med,C,0,22.923905
KORU016,med,C,0,18.266203
KORU032,med,C,0,17.088497
KORU038,med,C,1,24.563673
KORU043,med,C,0,37.345249
KORU044,med,C,1,33.632169
KORU048,med,C,0,42.799527
KORU050,med,C,1,30.698888
KORU001,med,D,0,25.11134
KORU003,med,D,0,15.595988
KORU006,med,D,0,19.273807
KORU007,med,D,1,11.256986
KORU009,med,D,1,17.283653
KORU012,med,D,0,20.849827
KORU014,med,D,0,24.453919
KORU016,med,D,0,26.727817
KORU032,med,D,0,20.004386
KORU038,med,D,1,15.454526
KORU043,med,D,0,12.249575
KORU044,med,D,1,20.471707
KORU048,med,D,0,11.468151
KORU050,med,D,1,21.369049
KORU001,med,F,0,14.356859
KORU003,med,F,0,23.588535
KORU006,med,F,0,9.348662
KORU007,med,F,1,11.254795
KORU009,med,F,1,8.818369
KORU012,med,F,0,22.743571
KORU014,med,F,0,18.112471
KORU016,med,F,0,13.515322
KORU032,med,F,0,23.207589
KORU038,med,F,1,16.979477
KORU043,med,F,0,17.882559
KORU044,med,F,1,22.915731
KORU048,med,F,0,10.898251
KORU050,med,F,1,17.019364
KORU001,rest,A,0,13.274443
KORU003,rest,A,0,18.168466
KORU006,rest,A,0,19.867571
KORU007,rest,A,1,11.564261
KORU009,rest,A,1,9.899047
KORU012,rest,A,0,17.091993
KORU014,rest,A,0,19.11647
KORU016,rest,A,0,23.846289
KORU032,rest,A,0,14.02901
KORU038,rest,A,1,18.79241
KORU043,rest,A,0,13.759769
KORU044,rest,A,1,10.850411
KORU048,rest,A,0,8.36632
KORU050,rest,A,1,20.02806
KORU001,rest,B,0,14.663195
KORU003,rest,B,0,13.156135
KORU006,rest,B,0,11.74536
KORU007,rest,B,1,23.553782
KORU009,rest,B,1,7.928226
KORU012,rest,B,0,16.298343
KORU014,rest,B,0,19.549466
KORU016,rest,B,0,18.637543
KORU032,rest,B,0,17.296159
KORU038,rest,B,1,22.191772
KORU043,rest,B,0,17.349321
KORU044,rest,B,1,12.28274
KORU048,rest,B,0,22.547396
KORU050,rest,B,1,14.348036
KORU001,rest,C,0,35.193425
KORU003,rest,C,0,29.490875
KORU006,rest,C,0,34.138721
KORU007,rest,C,1,35.306561
KORU009,rest,C,1,57.50348
KORU012,rest,C,0,23.846795
KORU014,rest,C,0,21.590573
KORU016,rest,C,0,19.289736
KORU032,rest,C,0,20.542478
KORU038,rest,C,1,26.817798
KORU043,rest,C,0,44.045727
KORU044,rest,C,1,31.800548
KORU048,rest,C,0,50.061952
KORU050,rest,C,1,33.072825
KORU001,rest,D,0,22.508982
KORU003,rest,D,0,15.595988
KORU006,rest,D,0,22.574244
KORU007,rest,D,1,15.246937
KORU009,rest,D,1,17.207967
KORU012,rest,D,0,22.643164
KORU014,rest,D,0,23.468347
KORU016,rest,D,0,25.569707
KORU032,rest,D,0,23.757003
KORU038,rest,D,1,12.937527
KORU043,rest,D,0,7.250348
KORU044,rest,D,1,21.73589
KORU048,rest,D,0,9.877301
KORU050,rest,D,1,21.012364
KORU001,rest,F,0,14.359955
KORU003,rest,F,0,23.588535
KORU006,rest,F,0,11.674103
KORU007,rest,F,1,14.32846
KORU009,rest,F,1,7.46128
KORU012,rest,F,0,20.119705
KORU014,rest,F,0,16.275144
KORU016,rest,F,0,12.656724
KORU032,rest,F,0,24.375349
KORU038,rest,F,1,19.260494
KORU043,rest,F,0,17.594835
KORU044,rest,F,1,23.330411
KORU048,rest,F,0,9.14703
KORU050,rest,F,1,11.538714
